ITER,CYCL,LOOP,ERR,V,T5,TA,TB,S1_B1,S3_B1,SINT_B1,SEQV_B1,E1_B1,E3_B1,EPTOINT_B1,EPTOEQV_B1,S1_D,S3_D,SINT_D,SEQV_D,E1_D,E3_D,EPTOINT_D,EPTOEQV_D,S1_B2,S3_B2,SINT_B2,SEQV_B2,E1_B2,E3_B2,EPTOINT_B2,EPTOEQV_B2,DOF_27387,DOF_88479
1,1,1535,0,1030.242088,662.3021179,225.2831544,504.8549219,705.8142797,-133.7912587,839.6055384,730.2986039,0.004217658497,-0.002650723224,0.006868381721,0.00453656974,1028.48031,-43.86507617,1072.345387,962.6134037,0.005914718225,-0.002717609267,0.008632327491,0.005889940268,405.6611093,-332.124527,737.7856363,639.5525358,0.003042461517,-0.002985801932,0.006028263449,0.003988310574,0.9991744364,0.3114145133
1,1,1536,0,1014.72966,649.9439991,223.3195335,496.6158337,683.4471297,-129.0141684,812.4612981,706.6740856,0.004069834676,-0.002555111081,0.006624945758,0.004376483387,999.5260758,-42.39527709,1041.921353,935.9292343,0.005737074441,-0.002626729583,0.008363804025,0.005711558673,393.6473352,-321.9702597,715.6175949,620.3436184,0.00294186747,-0.002886635891,0.00582850336,0.003857085177,0.9756998177,0.294814288
1,1,1537,0,1001.87822,654.5377471,230.2279309,492.017357,679.5557338,-119.8847434,799.4404772,695.0431894,0.004007974921,-0.002500233012,0.006508207933,0.004297589683,984.1878956,-37.69532708,1021.883223,918.4424751,0.005634683053,-0.002561250703,0.008195933757,0.005600225498,392.9838047,-313.8758712,706.8596758,612.976339,0.00290149712,-0.002846442568,0.005747939688,0.003805722885,0.9728974287,0.2909032239
1,1,1538,0,961.648776,662.4558779,230.1745672,495.0943909,635.5605114,-161.4428955,797.0034069,691.2539902,0.003859291844,-0.002636859385,0.00649615123,0.00428057579,936.0303107,-62.0391732,998.0694839,892.579553,0.005417507554,-0.002593802746,0.008011310301,0.005446597794,359.4955325,-325.4730875,684.96862,595.1504731,0.002732380678,-0.002844074652,0.00557645533,0.003697872656,0.9638508032,0.2837563181
1,1,1539,0,1042.17127,651.3394891,220.6158475,505.8098177,707.1398482,-132.1360628,839.275911,730.766874,0.004235669238,-0.002631611137,0.006867280375,0.00454048092,1038.763425,-42.67378877,1081.437213,971.2742764,0.005972122182,-0.00273352213,0.008705644312,0.005943026172,407.1066285,-332.5328415,739.6394701,640.8649148,0.003067213071,-0.002977659143,0.006044872214,0.003997528467,0.9964036117,0.3124338729
1,1,1540,0,1003.63886,646.7216658,226.3764513,508.1789861,651.936657,-167.3470724,819.2837293,711.8188613,0.004018112279,-0.002691727447,0.006709839726,0.004428056001,980.5145741,-64.50748677,1045.022061,934.4718492,0.005693817966,-0.002728307158,0.008422125124,0.0057238559,368.5796071,-337.0385844,705.6181915,611.8106237,0.002863084884,-0.002909142382,0.005772227266,0.003818700955,0.9855639261,0.3097289933
1,1,1541,0,1018.385717,648.6829844,234.548628,519.3153053,661.0389756,-175.1082027,836.1471783,726.8427909,0.004116524822,-0.002761153139,0.006877677961,0.004540278169,1003.528607,-69.07955111,1072.608158,958.3514224,0.005854056874,-0.002826592554,0.008680649428,0.005893162936,372.4331868,-345.7335731,718.1667599,622.4540076,0.002930949064,-0.002969479564,0.005900428628,0.003900850359,1.012758438,0.3358501264
1,1,1542,0,1010.290872,679.147992,231.8193214,514.0262355,686.4154717,-167.683926,854.0993978,741.4285341,0.004197155206,-0.002815382589,0.007012537796,0.004622814166,1011.606646,-62.37433329,1073.98098,960.289762,0.005872108947,-0.002803042364,0.008675151311,0.005894524353,387.9012507,-346.5258615,734.4271123,637.3805164,0.002976375604,-0.003046224547,0.006022600151,0.003987222925,1.014968059,0.3232592823
1,1,1543,0,1032.991936,660.0597716,228.3530825,501.4513597,711.5115498,-119.1377706,830.6493204,722.9625112,0.004207043124,-0.002579486585,0.006786529708,0.004485202154,1030.758967,-36.31791596,1067.076883,959.3103427,0.005907550702,-0.002674485342,0.008582036044,0.005864721747,411.9578416,-324.3766838,736.3345254,638.1787649,0.003054332415,-0.002954592871,0.006008925287,0.003975488901,0.9979200517,0.310385697
1,1,1544,0,1013.136476,662.1814772,230.1143438,494.7444648,697.8766846,-116.4650085,814.341693,708.1417806,0.004102740446,-0.002533966747,0.006636707193,0.00438287237,1005.241081,-35.51363781,1040.754719,935.8503682,0.005752044242,-0.00260087731,0.008352921552,0.00571012392,404.232905,-317.3846985,721.6176035,625.7409129,0.00297333102,-0.002900861759,0.005874192779,0.003888913463,0.9842104746,0.2973325248
1,1,1545,0,1022.820571,655.0660765,230.4549497,500.0680884,695.9510061,-122.656262,818.6072681,712.3001745,0.004128468105,-0.002556084148,0.006684552253,0.00441697658,1012.472484,-39.22900618,1051.70149,944.985382,0.005809367215,-0.002646318408,0.008455685623,0.005775403013,402.2186328,-321.801267,724.0198998,627.5465727,0.00299327012,-0.002912096417,0.005905366537,0.003907271929,0.9914425733,0.3076121935
