V,T5,TA,TB,SEQV_B1,EPTOEQV_B1,SEQV_D,EPTOEQV_D,DOF_27387,DOF_88479
1023.828302,654.3588079,229.8123357,509.069569,723.8563655,0.004503853,953.9665808,0.005846127,1.001502975,0.319376149
1014.883606,663.2136394,232.3624258,511.4096353,726.7441492,0.004526257,952.0277095,0.00583931,1.006806986,0.321984651
1043.224979,666.4474344,230.8832401,497.9756704,724.8010779,0.00449069,970.0734355,0.005925226,1.003405707,0.31072896
1042.958763,667.1781086,226.7950469,476.6557826,698.5957324,0.00429557,944.8895692,0.005748353,0.975874945,0.279202559
1021.784977,650.5270112,227.7536022,488.1778766,695.3613146,0.004292828,931.1678071,0.00567434,0.972862207,0.289442598
1028.718577,652.1747257,241.3168564,481.8060082,678.3752739,0.004179103,925.6082719,0.005637559,0.98070593,0.294639491
1027.91767,658.3893964,222.0496026,497.5604769,719.7075787,0.004458543,954.1770664,0.005824203,0.985241258,0.298477067
1024.894931,659.5346112,231.6739164,509.6337996,727.7369732,0.00452899,957.3728992,0.005868683,1.006626065,0.321931801
999.9317551,646.1853946,243.0982572,490.5525452,676.3300823,0.004179684,904.5494131,0.005516412,0.977539958,0.299929201
991.1200626,683.6030112,239.8014367,501.4437889,718.8014921,0.00446116,927.0589832,0.005671348,1.001344447,0.308063165
1017.023907,672.2615699,235.3849585,489.7798122,706.8155774,0.004366791,938.3579718,0.00572081,0.989268993,0.296139859
1018.534597,654.7350313,227.4407744,515.2783075,731.1545532,0.004560222,959.2685365,0.005888966,1.004686927,0.324077869
1010.318997,661.6208507,229.6938148,506.6313169,721.9561065,0.004488456,943.1070002,0.005775194,0.996264382,0.311994198
986.8754225,652.5787102,235.8326688,492.637534,685.2531219,0.004238485,902.029189,0.005501924,0.971294805,0.292499096
976.8639434,657.3041058,235.6099991,495.9075838,689.8408226,0.004272517,898.4460244,0.005485577,0.973076344,0.293791138
1027.14965,650.2639787,227.5819149,502.8761743,716.0068137,0.004444389,950.2955499,0.005811841,0.991884603,0.310220457
1018.073532,660.1209918,232.4833888,468.2641632,670.8399856,0.004112778,900.7508658,0.005474014,0.95710036,0.266137696
1001.306919,646.9651991,239.5580422,492.2673941,682.2942486,0.004219157,909.6328072,0.005549013,0.977387521,0.299420128
1043.322482,639.2029252,228.82574,494.5077632,701.478975,0.004340185,954.2747173,0.005821732,0.985009111,0.305152872
1009.386138,677.7595903,231.9743836,488.6186593,710.2764549,0.004386558,933.0398883,0.005686804,0.984424827,0.289362245
1010.031302,685.8877685,229.9773292,495.1855839,726.6478951,0.004498699,946.3389823,0.005774906,0.9944724,0.296261566
969.6005141,658.3959244,225.4143809,491.1623131,690.3137605,0.004268031,892.3325847,0.005439515,0.956617158,0.276784816
